product_id,product_name,category,brand_id,price,stock_quantity,weight_kg,release_date,rating
P001,프리미엄 커피 원두,식품,B001,25000,150,0.5,2023-03-01,4.5
P002,스테인리스 텀블러,생활용품,B002,35000,200,0.3,2023-02-15,4.8
P003,유기농 그래놀라,식품,B001,18000,80,0.4,2023-04-20,4.3
P004,친환경 대나무 칫솔,생활용품,B002,8500,300,0.05,2023-01-10,4.6
P005,콜드브루 커피,식품,B001,32000,120,0.6,2023-05-15,4.7
P006,오메가3 건강보조제,건강식품,B003,45000,90,0.2,2023-03-28,4.4
P007,프로바이오틱스,건강식품,B003,38000,110,0.15,2023-02-05,4.5
P008,재사용 물병,생활용품,B002,28000,180,0.25,2023-04-01,4.9
P009,유기농 허니,식품,B001,22000,65,0.35,2023-06-10,4.6
P010,비타민C 세럼,뷰티,B004,55000,75,0.08,2023-05-20,4.8
P011,천연 비누 세트,생활용품,B002,15000,220,0.3,2023-03-12,4.4
P012,단백질 쉐이크,건강식품,B003,42000,95,0.8,2023-04-25,4.3