purchase_id,customer_id,product_id,store_id,purchase_date,quantity,unit_price,total_amount,payment_method,discount_applied
PU001,C001,P001,S001,2024-01-15 14:30:00,2,25000,50000,카드,0
PU002,C002,P002,S001,2024-01-16 10:20:00,1,35000,35000,앱페이,3500
PU003,C001,P003,S002,2024-01-17 16:45:00,3,18000,54000,카드,5400
PU004,C003,P004,S003,2024-01-18 11:15:00,5,8500,42500,현금,0
PU005,C004,P005,S001,2024-01-19 13:40:00,1,32000,32000,카드,0
PU006,C002,P006,S002,2024-01-20 15:20:00,2,45000,90000,앱페이,9000
PU007,C005,P007,S004,2024-01-21 09:30:00,1,38000,38000,앱페이,0
PU008,C006,P008,S001,2024-01-22 14:50:00,3,28000,84000,카드,8400
PU009,C007,P009,S005,2024-01-23 12:10:00,2,22000,44000,현금,0
PU010,C008,P010,S002,2024-01-24 16:30:00,1,55000,55000,앱페이,5500
PU011,C003,P001,S003,2024-01-25 10:45:00,2,25000,50000,현금,0
PU012,C009,P011,S006,2024-01-26 11:20:00,4,15000,60000,카드,0
PU013,C010,P012,S001,2024-01-27 15:15:00,1,42000,42000,앱페이,4200
PU014,C001,P002,S001,2024-01-28 13:50:00,1,35000,35000,카드,0
PU015,C004,P003,S002,2024-01-29 09:40:00,2,18000,36000,카드,3600
PU016,C006,P005,S001,2024-01-30 14:20:00,2,32000,64000,카드,6400
PU017,C002,P007,S002,2024-02-01 10:30:00,1,38000,38000,앱페이,0
PU018,C007,P008,S005,2024-02-02 16:10:00,2,28000,56000,현금,0
PU019,C005,P004,S004,2024-02-03 11:45:00,6,8500,51000,앱페이,5100
PU020,C008,P006,S002,2024-02-04 15:30:00,1,45000,45000,앱페이,4500